OutcomeCategory,Business Outcome,IT Outcome,Key Performance Indicator(s),Domain,Capability,Use Case,Use Case Description,Products,Originator,Country,Customer,Delivered?,Outcome Category,Sector,Item Type,Path
"Improve Quality, Reduce Risk, Grow Revenues","Higher availability of business services which leads to better service quality, higher business performance, better customer experience and higher profits",Improve the detection of important root cause events that need immediate focus from the support groups,"- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Event Management,Noise Reduction through Event Correlation,"As the Service Support Manager, 

I want Event Correlation (preferably automated and with AI/ML injected) to reduce the noise of event storms from multiple monitoring tools, 

so that I can detect the important and correct vulnerabilities and risks that I need to focus on in seconds.",OPSB,Luke Codarin <lcodarin@opentext.com>,ANZ,Telstra,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Reduce Risk, Grow Revenues","Higher availability of business services which leads to better service quality, higher business performance, better customer experience and higher profits",Improve the detection of important root cause events that need immediate focus from the support groups,"- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Event Management,Noise Reduction through Event Correlation,"As the Service Support Manager, 

I want Event Correlation (preferably automated and with AI/ML injected) to reduce the noise of event storms from multiple monitoring tools, 

so that I can detect the important and correct vulnerabilities and risks that I need to focus on in seconds.",OPSB,Hany Boulous,EMERGING,Dubai Airport,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues","Higher availability of business services which leads to better service quality, higher business performance, better customer experience and higher profits",Improve the routing of events to the right resolver groups,"- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Event Management,Alert Intelligent to avoid distraction,"As the Service Support Manager 

I want to associate events and incidents with (automatically discovered) topology related to business services (Service Model) and support groups 

so that I can automatically route events / incidents to relevant support groups and filter the presentation of the event queue.",OPSB,Luke Codarin <lcodarin@opentext.com>,ANZ,Telstra,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Business Alignment, Grow Revenues","Higher availability of business services which leads to better service quality, higher business performance, better customer experience and higher profits",Improve the speed of discovering the business impact and the selection of appropriate actions to execute,"- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Service Monitoring,Business Impact Analysis,"As the Service Owner 

I want to associate events with automatically discovered topology related to business services (Service Model) and Business User groups 

so that I can immediately understand the business impact of the events and take the right actions accordingly.",OPSB,Luke Codarin <lcodarin@opentext.com>,ANZ,Telstra,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Business Alignment, Grow Revenues","Improve End User Productivity at lower support costs so End Users can enjoy higher service quality, higher business performance, better experience and faster business Support.",Reduce support costs and extend service times by offering effective Self Service capability. Free up Service Desk agents in delivering self service capabilities to end users.,"- CEI, 
- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Service Catalogue and Offer Management,End User Self Service for ITSM and ESM,"As the Service Support Manager / Service Level Manager

I want to offer superior self service capabilities to my Business Users (Portal, Virtual Agent, Chat, Knowledge, Ticketing, Catalogue, Communication, Collaboration, etc) leveraging the IT capabilities for non IT business content customer (like GRE, Logistics, Finance), 

so that IT and business customers easily and effectively interact with business and IT on services provided and  enjoy higher service quality, better collaboration, better experience and efficient business support faster.",SMAX,#NAME?,"DACH, EMERGING",#NAME?,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Business Alignment, Grow Revenues","Improve End User Productivity at lower support costs so End Users can enjoy higher service quality, higher business performance, better experience and faster business Support.",Reduce support costs and extend service times by offering effective Self Service capability. Free up Service Desk agents in delivering self service capabilities to end users.,"- CEI, 
- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Service Catalogue and Offer Management,End User Self Service for ITSM and ESM,"As the Service Support Manager / Service Level Manager

I want to offer superior self service capabilities to my Business Users (Portal, Virtual Agent, Chat, Knowledge, Ticketing, Catalogue, Communication, Collaboration, etc) leveraging the IT capabilities for non IT business content customer (like GRE, Logistics, Finance), 

so that IT and business customers easily and effectively interact with business and IT on services provided and  enjoy higher service quality, better collaboration, better experience and efficient business support faster.",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Business Alignment, Reduce Risk, Reduce Cost, Grow Revenues","Higher availability of business services which leads to better service quality, higher business performance, better customer experience and higher profits",Improve efficiency in restoring the business services trough faster Incident Resolution,"- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Incident Management,Restore the service as soon as possible,"As the Incident Manager I want effective incident management practice - including strong ServiceDesk functions and AI and Knowledge based support for Users and Agents, so that I can manage and measure the logging, assignment, investigation and diagnosis, resolution & recovery of every incident resulting in a better / faster time to restore the service",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues","Higher availability of business services which leads to better service quality, better customer experience and higher profits",Improve efficiency in restoring the business services trough proper incident management,"- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Incident Management,Automated Incident Ticketing,"As the Incident Manager I want that all root cause events (after correlation) are automatically logged as an incident thus to improve communication from the service desk to customers, faster response times if events have not been solved and establish knowledge gathering and learning",OPSB,"- Luke Codarin <lcodarin@opentext.com>, (Telstra)
- Dominique Marie (SFR)","ANZ, GALLIA","Telstra, SFR",Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk, Business Alignment","Less critical Incidents and Higher availability of business services which leads to better service quality, better customer experience and higher profits","Efficient (Major) Incident Management procedure that provides optimal communication, team oriented support and fastest resolution and fix of critical Incidents
","- MTBSI, 
- MTTR",Continuous Operations,Incident Management,Reduce business impact for services interruptions and degradations (incidents),"As the Incident Manager 

I want that (critical) incidents follow a specific procedure that includes proper request management, communication, classification, organisation of teams, diagnosis and remediation and a specific review/analysis phase, 

so that (critical) incidents are resolved and mitigated fast and service interruption / degradation is solved as soon as possible",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Less critical Incidents and Higher availability of business services which leads to better service quality, better customer experience and higher profits","Efficient (Major) Incident Management procedure that provides optimal communication, team oriented support and fastest resolution and fix of critical Incidents","- MTBSI, 
- MTTR",Continuous Operations,Incident Management,Reduces the recurrence of incidents through remediation of rootcauses,"As the Incident Manager 

I want that underlying root causes are diagnosed and remediated resulting in underlying infrastructure being optimized based on the learnings of the event and incident management practices 

so that events and incidents are never repeated.",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Less critical Incidents and higher availability of business services which leads to better service quality, better customer experience and higher profits","Efficient problem management practices will reduces support costs by investing in Problem Analysis to find trends, enable IT to be proactive and prevent incidents from occurring through permanent fix or available workarounds as well as to  increase end-user satisfaction",MTBSI,Continuous Operations,Problem Management,Reduces the occurrence and recurrence of events and incidents,"As the Incident / Problem Manager 

I want to minimize the effects of events and incidents caused by errors in the IT infrastructure and prevent their recurrence by enabling IT to quickly identify the underlying reason for one or more incident, implement workarounds, identify known errors and provide permanent solutions through Defect Management

so that I improve the service availability and reliability, as well as the customer experience and the business performance",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
